filename,foreheadHorizEdges,foreheadVertEdges,eyeSidesHorizEdges,eyeSidesVertEdges,chinHorizEdges,chinVertEdges,emotion
851.jpg,0,0,16,0,0,31,happy
4682.jpg,0,0,6,0,1,13,happy
1088.jpg,0,0,14,0,0,20,neutral
5078.jpg,1,0,0,0,0,8,happy
5547.jpg,0,0,16,0,0,22,happy
1933.jpg,0,0,19,0,4,38,confident
5093.jpg,0,0,7,0,0,21,neutral
1195.jpg,0,0,11,0,0,27,happy
1477.jpg,0,0,0,0,6,15,happy
4043.jpg,0,0,9,0,3,24,neutral
4018.jpg,0,0,11,0,3,17,happy
2627.jpg,0,0,13,0,5,27,happy
5564.jpg,0,0,9,0,9,20,happy
1042.jpg,0,0,8,0,2,15,happy
599.jpg,0,0,10,0,0,22,neutral
2038.jpg,0,0,15,0,0,27,angry
3922.jpg,0,0,8,0,0,21,angry
4797.jpg,0,0,12,0,6,23,neutral
118.jpg,0,0,1,0,6,10,happy
1124.jpg,0,0,5,6,32,26,happy
1518.jpg,0,0,11,0,0,18,happy
1476.jpg,0,0,0,0,0,14,neutral
2139.jpg,0,0,10,0,2,21,confident
710.jpg,0,0,4,0,4,12,happy
767.jpg,0,0,14,0,1,33,happy
1793.jpg,0,0,13,0,7,21,angry
1844.jpg,0,0,9,0,5,24,confident
6509.jpg,0,0,19,0,0,37,happy
1050.jpg,0,0,10,0,0,12,neutral
1265.jpg,0,0,14,0,0,22,happy
349.jpg,0,0,12,0,0,26,happy
3995.jpg,0,0,12,0,4,24,neutral
4229.jpg,0,0,11,0,0,5,anxious
5865.jpg,0,0,14,0,17,23,happy
2708.jpg,0,0,9,0,0,31,happy
2155.jpg,0,0,13,0,0,8,happy
3932.jpg,0,0,14,0,2,33,happy
1822.jpg,0,0,17,19,4,29,confident
6506.jpg,0,0,7,0,0,28,happy
3240.jpg,0,0,13,0,8,33,anxious
4735.jpg,0,0,12,0,9,17,neutral
6114.jpg,0,0,15,0,1,24,happy
2474.jpg,0,0,13,0,8,26,neutral
5364.jpg,0,0,6,0,8,29,angry
2745.jpg,0,0,13,0,0,21,anxious
2690.jpg,0,0,10,0,0,30,happy
386.jpg,0,0,13,0,7,28,happy
5077.jpg,0,0,9,0,1,24,neutral
1856.jpg,0,0,8,0,14,23,happy
120.jpg,0,0,20,0,19,37,angry
3173.jpg,0,0,16,0,0,16,angry
1911.jpg,0,0,0,0,0,20,happy
5061.jpg,0,0,9,0,5,26,happy
2496.jpg,0,0,6,0,5,19,angry
6196.jpg,0,0,11,0,2,19,happy
5666.jpg,0,0,16,0,0,37,neutral
2922.jpg,0,0,7,0,3,34,neutral
3674.jpg,0,0,10,0,22,16,happy
4099.jpg,0,0,0,0,0,11,neutral
325.jpg,0,0,12,0,0,22,sad
1867.jpg,0,0,15,0,7,21,happy
3813.jpg,0,0,10,0,4,19,happy
6300.jpg,0,0,12,0,0,3,happy
4138.jpg,0,0,12,0,0,20,happy
2740.jpg,0,0,5,0,6,18,neutral
5447.jpg,0,0,1,0,13,19,confident
5973.jpg,0,0,11,0,4,10,happy
5832.jpg,0,0,11,0,2,25,neutral
2618.jpg,0,0,12,0,0,32,neutral
6141.jpg,0,0,0,0,0,3,happy
678.jpg,0,0,9,0,0,17,happy
2562.jpg,0,0,5,0,0,21,happy
789.jpg,0,0,3,0,5,23,confident
4220.jpg,0,0,13,0,6,24,happy
4704.jpg,0,0,8,16,0,23,happy
1097.jpg,0,0,4,0,1,22,happy
5617.jpg,0,0,12,0,7,27,anxious
3738.jpg,0,0,10,0,0,7,happy
2961.jpg,0,0,17,18,4,26,happy
2893.jpg,0,0,1,0,0,23,anxious
3226.jpg,0,0,15,0,0,39,happy
4347.jpg,0,0,3,0,0,14,happy
1365.jpg,0,0,19,0,25,16,happy
6450.jpg,0,0,11,0,1,12,neutral
4142.jpg,0,0,8,0,0,1,neutral
746.jpg,0,0,6,7,4,21,happy
2024.jpg,0,0,2,0,0,19,neutral
3950.jpg,0,0,16,0,32,31,surprised
1393.jpg,0,0,4,0,0,20,confident
422.jpg,6,0,12,0,0,2,happy
2772.jpg,0,0,13,0,2,35,happy
2898.jpg,0,0,16,0,0,10,anxious
2763.jpg,0,0,9,12,0,24,happy
3397.jpg,0,0,7,7,15,13,happy
5180.jpg,0,0,9,0,0,16,happy
1415.jpg,0,0,7,0,0,27,happy
1832.jpg,0,0,5,0,3,18,neutral
6700.jpg,0,0,13,0,6,22,neutral
2305.jpg,0,0,7,0,13,26,confident
6045.jpg,0,0,2,0,0,7,anxious
1401.jpg,0,0,15,0,0,1,happy
1486.jpg,0,0,5,0,0,20,happy
1560.jpg,0,0,10,0,0,10,angry
2096.jpg,0,0,7,0,6,29,happy
4363.jpg,0,0,18,0,1,21,happy
2834.jpg,0,0,10,0,6,24,happy
1810.jpg,0,0,3,0,4,17,anxious
1134.jpg,0,0,6,0,5,18,anxious
971.jpg,0,0,3,7,1,27,confident
5771.jpg,1,0,13,0,0,4,happy
2017.jpg,0,0,15,0,6,19,happy
6460.jpg,0,0,9,0,1,18,happy
14.jpg,0,0,8,0,8,26,happy
6381.jpg,0,0,3,0,8,22,happy
6291.jpg,0,0,11,8,3,31,angry
3869.jpg,0,0,11,0,0,26,neutral
855.jpg,0,0,17,0,0,16,happy
4745.jpg,0,0,9,0,6,18,neutral
1675.jpg,0,0,7,0,0,23,neutral
4587.jpg,0,0,10,0,10,31,angry
3733.jpg,0,0,7,0,0,24,happy
6395.jpg,0,0,10,0,0,3,happy
399.jpg,0,0,17,0,0,7,happy
6959.jpg,0,0,10,0,4,21,happy
3866.jpg,0,0,7,0,2,25,surprised
1558.jpg,0,0,11,0,8,22,happy
1458.jpg,0,0,7,0,0,21,happy
1596.jpg,0,0,16,0,0,29,confident
4394.jpg,0,0,2,0,0,19,happy
3385.jpg,0,0,8,0,0,31,happy
6736.jpg,0,0,11,0,0,16,anxious
352.jpg,0,0,6,0,1,27,neutral
1115.jpg,0,0,20,0,8,31,happy
4389.jpg,0,0,7,0,0,26,neutral
4888.jpg,0,0,7,0,0,32,sad
1754.jpg,0,0,13,0,3,17,happy
4879.jpg,0,0,14,0,1,20,surprised
702.jpg,0,0,17,1,0,12,happy
5698.jpg,0,0,0,0,5,11,happy
2334.jpg,0,0,10,0,2,37,happy
6313.jpg,0,0,14,0,7,26,happy
1555.jpg,0,0,11,0,0,35,happy
2528.jpg,0,0,9,0,6,9,happy
5721.jpg,0,0,11,0,0,0,happy
3302.jpg,0,0,12,0,2,22,neutral
1619.jpg,0,0,11,0,6,21,happy
4833.jpg,0,0,10,0,7,16,angry
4512.jpg,0,0,16,0,9,27,happy
2607.jpg,0,0,2,0,0,18,happy
1194.jpg,0,0,5,0,0,11,neutral
4759.jpg,0,0,13,0,13,25,neutral
4035.jpg,0,0,12,0,2,31,neutral
1390.jpg,0,0,4,0,0,13,happy
5653.jpg,0,0,2,0,1,17,happy
1861.jpg,0,0,5,0,0,25,happy
1607.jpg,0,0,8,0,4,11,happy
3159.jpg,0,0,10,0,0,12,happy
5527.jpg,0,0,17,0,0,17,happy
4825.jpg,0,0,0,0,3,18,confident
2273.jpg,0,0,18,0,0,19,happy
3305.jpg,0,0,12,0,35,31,happy
2984.jpg,0,0,23,0,0,12,happy
1113.jpg,0,0,4,0,1,16,happy
1796.jpg,0,0,0,0,0,8,happy
5937.jpg,0,0,0,0,0,16,neutral
4397.jpg,0,0,13,0,13,20,sad
4094.jpg,0,0,2,0,0,5,happy
3228.jpg,0,0,5,0,0,0,confident
3146.jpg,0,0,7,0,12,24,confident
1532.jpg,0,0,14,0,0,30,happy
4546.jpg,0,0,11,0,6,32,surprised
650.jpg,0,0,8,0,9,19,happy
6781.jpg,0,0,11,13,0,27,happy
4977.jpg,0,0,6,0,3,36,happy
3757.jpg,0,0,10,0,4,18,happy
3010.jpg,0,0,11,0,4,31,confident
924.jpg,0,0,0,0,0,17,neutral
1503.jpg,0,0,10,0,7,17,angry
2327.jpg,0,0,12,0,1,11,happy
4661.jpg,0,0,11,0,3,27,happy
601.jpg,0,0,17,0,2,29,happy
2105.jpg,0,0,14,0,0,35,sad
6075.jpg,0,0,8,0,0,3,neutral
1301.jpg,0,0,9,0,2,17,happy
1708.jpg,0,0,15,0,1,24,angry
4166.jpg,0,0,1,0,0,1,happy
5791.jpg,0,0,12,0,7,22,happy
6920.jpg,0,0,11,0,0,15,happy
6976.jpg,0,0,12,0,53,37,neutral
2827.jpg,0,0,8,0,3,29,happy
4966.jpg,0,0,10,0,12,32,happy
1190.jpg,0,0,11,0,1,30,happy
5659.jpg,0,0,13,0,3,17,happy
1630.jpg,0,0,13,0,0,24,happy
2228.jpg,0,0,7,0,5,6,happy
5200.jpg,0,0,12,0,12,25,happy
3652.jpg,0,0,0,0,1,13,confident
2843.jpg,0,0,9,0,0,31,neutral
850.jpg,0,0,24,0,0,40,happy
3501.jpg,0,0,10,0,6,13,sad
1325.jpg,0,0,12,0,0,24,sad
2448.jpg,0,0,14,0,9,24,angry
2649.jpg,0,0,8,0,4,27,happy
2016.jpg,0,0,10,0,10,28,happy
2417.jpg,0,0,12,0,0,20,neutral
514.jpg,0,0,21,0,0,29,happy
6193.jpg,0,0,9,0,2,23,happy
799.jpg,0,0,16,0,0,29,happy
208.jpg,0,0,18,0,0,32,happy
1232.jpg,0,0,6,0,4,22,anxious
700.jpg,0,0,16,0,3,25,confident
4431.jpg,0,0,0,0,1,18,happy
1463.jpg,0,0,7,0,0,42,neutral
174.jpg,0,0,7,0,4,15,anxious
4526.jpg,0,0,12,0,6,15,happy
5982.jpg,2,0,17,6,1,21,angry
6314.jpg,0,0,16,0,0,11,happy
3157.jpg,0,0,18,0,32,33,happy
2769.jpg,0,0,11,0,4,37,sad
3531.jpg,0,0,9,0,7,18,happy
2497.jpg,0,0,4,0,0,12,angry
798.jpg,0,0,12,0,2,37,happy
1308.jpg,0,0,13,0,6,24,neutral
2638.jpg,0,0,10,0,0,30,neutral
4959.jpg,0,0,12,0,9,24,happy
3883.jpg,0,0,1,0,7,12,happy
3711.jpg,0,0,0,0,1,5,sad
471.jpg,0,0,12,0,3,26,neutral
2227.jpg,0,0,14,0,2,22,happy
6798.jpg,0,0,11,0,4,21,confident
6014.jpg,0,0,2,0,0,22,happy
548.jpg,0,0,12,0,0,21,happy
2333.jpg,0,0,13,0,0,28,neutral
1908.jpg,0,0,6,0,0,25,anxious
3193.jpg,0,0,0,0,0,13,neutral
6696.jpg,0,0,9,0,5,38,happy
5879.jpg,0,0,10,0,5,30,neutral
542.jpg,0,0,7,0,0,14,happy
5686.jpg,0,0,4,0,0,3,neutral
2389.jpg,0,0,3,1,0,20,neutral
2809.jpg,0,0,14,0,0,7,happy
3775.jpg,0,0,10,0,5,44,confident
5568.jpg,0,0,15,0,6,35,angry
694.jpg,0,0,15,0,5,18,happy
4135.jpg,0,0,0,0,0,14,happy
3320.jpg,11,0,10,0,0,6,neutral
1048.jpg,1,0,6,0,5,14,neutral
2781.jpg,0,0,7,0,0,29,happy
3871.jpg,0,0,10,0,0,29,anxious
4288.jpg,0,0,12,0,10,19,anxious
5421.jpg,0,0,14,0,12,41,happy
1547.jpg,0,0,15,5,4,33,happy
2660.jpg,0,0,5,0,6,25,neutral
3190.jpg,0,0,14,0,25,24,neutral
4037.jpg,0,0,11,0,0,22,happy
5134.jpg,0,0,6,0,5,17,angry
3559.jpg,0,0,6,0,0,26,confident
5864.jpg,0,0,9,0,0,27,happy
4219.jpg,0,0,6,0,8,40,happy
440.jpg,0,0,9,0,2,41,neutral
4356.jpg,0,0,9,0,3,19,angry
4562.jpg,0,0,9,0,0,35,happy
4881.jpg,0,0,13,0,0,28,confident
2067.jpg,0,0,6,0,0,19,surprised
5154.jpg,0,0,14,0,0,13,neutral
1123.jpg,0,0,0,6,0,8,neutral
2253.jpg,0,0,4,0,0,35,happy
3552.jpg,0,0,10,0,0,20,anxious
980.jpg,0,0,2,0,0,20,happy
4223.jpg,0,0,7,0,0,9,happy
4947.jpg,5,0,13,0,0,9,happy
2330.jpg,0,0,12,0,6,21,confident
5963.jpg,0,0,12,0,0,26,happy
357.jpg,0,0,12,0,10,16,anxious
2695.jpg,0,0,1,0,1,12,neutral
4773.jpg,0,0,15,0,5,25,neutral
2257.jpg,0,0,17,0,0,45,confident
812.jpg,0,0,16,0,1,25,happy
972.jpg,0,0,11,0,0,6,happy
6118.jpg,0,0,8,0,4,17,neutral
4572.jpg,0,0,14,0,0,21,angry
3361.jpg,0,0,13,0,5,26,happy
6622.jpg,0,0,9,0,3,15,neutral
3209.jpg,0,0,2,0,0,26,happy
704.jpg,0,0,5,0,5,3,confident
1866.jpg,0,0,5,0,0,29,neutral
1304.jpg,0,0,14,0,10,50,neutral
427.jpg,0,0,9,22,0,21,happy
4559.jpg,0,0,15,0,0,21,happy
4673.jpg,0,0,9,0,0,7,happy
1749.jpg,0,0,7,0,0,21,happy
483.jpg,0,0,14,0,22,29,happy
1045.jpg,0,0,0,0,0,11,happy
4027.jpg,0,0,7,0,0,17,happy
2075.jpg,0,0,16,0,0,24,confident
2268.jpg,0,0,8,0,2,15,neutral
4382.jpg,0,0,9,0,10,9,angry
1027.jpg,0,0,3,0,0,16,neutral
2445.jpg,0,0,15,0,0,34,happy
5592.jpg,0,0,0,0,0,4,happy
1349.jpg,0,0,13,0,1,18,neutral
137.jpg,0,0,11,0,18,31,neutral
4662.jpg,0,0,6,0,3,18,neutral
1367.jpg,0,0,1,0,2,25,happy
2529.jpg,0,0,7,0,2,21,neutral
4490.jpg,0,0,7,1,17,30,happy
763.jpg,0,0,9,0,2,27,neutral
920.jpg,1,0,3,0,0,2,happy
3577.jpg,0,0,12,0,3,30,surprised
1826.jpg,0,0,11,0,23,23,happy
242.jpg,0,0,6,0,0,7,happy
2458.jpg,0,0,11,0,0,16,anxious
112.jpg,1,0,6,0,0,7,neutral
5099.jpg,0,0,0,0,0,32,happy
3412.jpg,0,0,28,0,11,21,neutral
2513.jpg,0,0,13,0,3,33,happy
2098.jpg,0,0,4,0,0,0,happy
4612.jpg,0,0,4,0,12,18,happy
1561.jpg,0,0,8,0,0,26,happy
263.jpg,0,0,10,0,0,30,neutral
726.jpg,0,0,6,0,8,28,happy
2311.jpg,0,0,11,0,23,34,neutral
457.jpg,0,0,14,0,22,25,happy
151.jpg,0,0,8,0,0,14,surprised
1272.jpg,0,0,9,0,0,27,neutral
1340.jpg,0,0,24,0,2,28,confident
4388.jpg,0,0,17,0,10,20,happy
1235.jpg,0,0,16,0,9,21,confident
2165.jpg,0,0,5,0,0,15,neutral
3301.jpg,0,0,6,0,4,25,confident
4165.jpg,0,0,6,0,0,3,sad
2267.jpg,0,0,12,0,0,11,happy
5591.jpg,0,0,14,0,2,33,happy
2930.jpg,0,0,9,0,27,31,happy
1605.jpg,0,0,15,0,3,28,neutral
3486.jpg,0,0,9,0,8,19,happy
5536.jpg,0,0,14,0,0,25,happy
5199.jpg,0,0,12,0,0,45,happy
3525.jpg,0,0,14,0,0,25,happy
4926.jpg,0,0,9,14,0,19,angry
5031.jpg,0,0,10,0,1,23,happy
116.jpg,0,0,14,0,0,27,happy
3435.jpg,0,0,6,0,0,19,sad
4776.jpg,0,0,9,0,0,15,angry
2314.jpg,0,0,1,0,11,16,anxious
6109.jpg,0,0,16,0,1,21,neutral
2444.jpg,0,0,7,0,10,17,happy
3912.jpg,0,0,15,0,5,22,happy
1798.jpg,0,0,4,0,0,21,happy
1452.jpg,0,0,11,0,0,20,happy
689.jpg,0,0,5,0,8,27,happy
3338.jpg,0,0,8,0,0,7,happy
2451.jpg,0,0,11,0,0,25,neutral
1840.jpg,0,0,10,0,3,23,happy
2007.jpg,0,0,7,0,0,20,anxious
1578.jpg,0,0,14,0,1,27,anxious
3141.jpg,0,0,12,0,0,24,happy
5589.jpg,0,0,2,0,1,25,happy
885.jpg,0,0,3,0,0,25,happy
4254.jpg,0,0,8,0,0,26,happy
780.jpg,0,0,6,0,2,15,happy
190.jpg,0,0,15,0,2,26,anxious
1010.jpg,0,0,13,0,3,22,neutral
1020.jpg,0,0,12,0,4,22,happy
1030.jpg,0,0,3,0,0,31,happy
2780.jpg,0,0,12,0,0,33,surprised
2169.jpg,0,0,9,0,12,22,happy
368.jpg,0,0,0,0,0,10,anxious
741.jpg,0,0,14,0,10,35,anxious
2525.jpg,0,0,2,0,7,17,angry
2776.jpg,0,0,5,0,5,26,happy
4203.jpg,0,0,14,0,0,8,sad
5452.jpg,0,0,10,0,25,33,happy
2368.jpg,0,0,12,11,32,25,happy
1925.jpg,0,0,3,0,0,27,happy
1757.jpg,0,0,7,0,2,9,neutral
128.jpg,0,0,13,2,33,26,happy
2604.jpg,0,0,8,12,0,17,happy
6777.jpg,0,0,10,0,0,26,happy
4540.jpg,0,0,14,0,0,14,neutral
873.jpg,0,0,15,0,12,26,neutral
3396.jpg,0,0,13,0,0,1,anxious
